Company,FiscalYear,FiscalYearAD,CAR,NPL_Ratio,CD_Ratio,Cost_of_Funds,Base_Rate,Interest_Spread,ROE_derived,Loan_Growth_YoY,NPL_Ratio_lag1,CAR_lag1,CD_Ratio_lag1,Delta_NPL_lag1,Delta_CAR_lag1,NPL_dev,CAR_dev,ROE_dev,NPL_next_year,Delta_NPL_next_year,Deteriorate_next_year
NABIL,2073/2074,2016/2017,,,,,,,20.270215722795342,,,,,,,,,6.5291313029448865,0.55,,
NABIL,2074/2075,2017/2018,13.18,0.55,74.68,4.75,7.78,4.89,20.091262274799433,,,,,,,-0.05499999999999994,0.07499999999999929,4.065407470983516,0.74,0.18999999999999995,0
NABIL,2075/2076,2018/2019,12.71,0.74,72.9,6.13,8.09,4.43,18.46457842884277,,0.55,13.18,74.68,0.18999999999999995,-0.46999999999999886,0.09499999999999997,-0.5849999999999991,1.1182477136064435,0.97,0.22999999999999998,0
NABIL,2076/2077,2019/2020,12.81,0.97,68.08,5.49,7.32,3.73,13.823516564804944,14.655342561360898,0.74,12.71,72.9,0.22999999999999998,0.09999999999999964,-0.020000000000000018,-0.5499999999999989,0.5733277584968448,0.78,-0.18999999999999995,0
NABIL,2077/2078,2020/2021,12.69,0.78,79.22,4.41,5.86,3.79,13.515411430090351,33.64738175426111,0.97,12.81,68.08,-0.18999999999999995,-0.120000000000001,-0.08999999999999997,-1.0050000000000008,0.44581216900753695,1.54,0.76,1
NABIL,2078/2079,2021/2022,13.44,1.54,89.79,7.17,8.77,4.22,9.45684072544773,51.974704686527836,0.78,12.69,79.22,0.76,0.75,0.545,-0.03500000000000014,-3.4919805466269054,3.2,1.6600000000000001,1
NABIL,2079/2080,2022/2023,12.66,3.2,87.68,7.81,9.52,4.99,12.957999937268477,10.50434799903355,1.54,13.44,89.79,1.6600000000000001,-0.7799999999999994,0.6000000000000001,-0.7049999999999983,0.2987731261905555,3.85,0.6499999999999999,1
NABIL,2080/2081,2023/2024,12.39,3.85,83.6,5.86,7.63,3.99,11.852071395805712,12.407239911923472,3.2,12.66,87.68,0.6499999999999999,-0.2699999999999996,0.4950000000000001,-0.17999999999999972,1.2386089340057147,0.95,-2.9000000000000004,0
NABIL,2081/2082,2024/2025,11.94,0.95,82.48,4.41,5.83,3.57,11.182326244953037,10.379752184033888,3.85,12.39,83.6,-2.9000000000000004,-0.45000000000000107,-1.615,-1.205,0.2861239273434073,0.97,0.020000000000000018,0
NABIL,2082/2083,2025/2026,12.67,0.97,78.14,4.13,5.58,3.51,2.6975779050134197,1.9939796007537844,0.95,11.94,82.48,0.020000000000000018,0.7300000000000004,-3.4400000000000004,-0.09500000000000064,-0.009522328057597562,,,
NICA,2072/2073,2015/2016,,,,,,,14.365103091821668,,,,,,,,,-4.016644984993979,,,
NICA,2073/2074,2016/2017,,,,,,,11.85042064570309,,,,,,,,,-1.8906637741473649,0.06,,
NICA,2074/2075,2017/2018,12.54,0.06,74.12,7.67,11.16,5.1,12.248072673142305,,,,,,,-0.5449999999999999,-0.5650000000000013,-3.7777821306736126,0.46,0.4,0
NICA,2075/2076,2018/2019,13.48,0.46,74.84,6.97,9.48,4.41,20.401859228114027,,0.06,12.54,74.12,0.4,0.9400000000000013,-0.185,0.1850000000000005,3.0555285128777,0.75,0.29,0
NICA,2076/2077,2019/2020,13.2,0.75,70.29,5.56,7.7,4.39,18.11076801638658,12.345730371760812,0.46,13.48,74.84,0.29,-0.28000000000000114,-0.24,-0.16000000000000014,4.86057921007848,0.46,-0.29,0
NICA,2077/2078,2020/2021,12.41,0.46,81.12,5.3,6.84,3.73,15.711818278341678,55.32689778045088,0.75,13.2,70.29,-0.29,-0.7899999999999991,-0.41,-1.2850000000000001,2.6422190172588635,0.49,0.02999999999999997,0
NICA,2078/2079,2021/2022,13.51,0.49,86.26,7.39,9.25,4.4,17.99112163159824,1.4597731712902233,0.46,12.41,81.12,0.02999999999999997,1.0999999999999996,-0.505,0.03500000000000014,5.042300359523605,0.8,0.31000000000000005,0
NICA,2079/2080,2022/2023,13.39,0.8,83.55,7.67,9.98,3.99,15.686806195186694,3.824714542862654,0.49,13.51,86.26,0.31000000000000005,-0.11999999999999922,-1.8,0.02500000000000213,3.0275793841087726,1.74,0.94,1
NICA,2080/2081,2023/2024,11.18,1.74,77.98,6.96,9.19,3.99,4.58042668278543,3.8155856735900837,0.8,13.39,83.55,0.94,-2.210000000000001,-1.615,-1.3900000000000006,-6.0330357790145674,1.87,0.13000000000000012,0
NICA,2081/2082,2024/2025,14.0,1.87,73.97,4.92,7.04,3.99,0.5473022160568153,-17.632341969248742,1.74,11.18,77.98,0.13000000000000012,2.8200000000000003,-0.6949999999999998,0.8550000000000004,-10.348900101552815,4.24,2.37,1
NICA,2082/2083,2025/2026,14.03,4.24,66.08,4.6,6.6,3.99,0.41204453103688193,-5.309634171723967,1.87,14.0,73.97,2.37,0.02999999999999936,-0.16999999999999993,1.2649999999999988,-2.2950557020341353,,,
NMB,2072/2073,2015/2016,,,,,,,16.549594659997226,,,,,,,,,-1.8321534168184215,,,
NMB,2073/2074,2016/2017,,,,,,,13.571759151492913,,,,,,,,,-0.16932526835754302,0.88,,
